datasets-punishment-reckless-sex,google sheet,https://docs.google.com/spreadsheets/d/1R8y1tO6RCbwnGfV7g_O0tv2bcAaqR3asa2Dymipt1SE/edit?usp=sharing
datasets-punishment-us-dv-ncsc,google sheet,https://docs.google.com/spreadsheets/d/1u0hSl93rYbM8YhMvepi2TW-geLi-csWvZjcuplkvAuw/edit?usp=sharing
datasets-punishment-us-dv-nj,google sheet,https://docs.google.com/spreadsheets/d/1A5eKps5SyQSP27aKGDZpX-xXVZeP7FjDRXmegNdU4aE/edit?usp=sharing
datasets-punishment-us-dv-ny,google sheet,https://docs.google.com/spreadsheets/d/1v5nga1jkUk8GGfrgjObSnZc-lE3m7r4icnKbqZ60Nas/edit?usp=sharing
datasets-victims-fatalities,google sheet,https://docs.google.com/spreadsheets/d/16GoiEbSxGsywVVOQ034HKrSN_UPOYu9Hw9NCmB0-Y0s/edit?usp=sharing
datasets-victims-injuries-nhamcs,google sheet,https://docs.google.com/spreadsheets/d/1EpEtvuUQGBGeFzhmEFGAmam2M8yTFRuyH2IK3UVAHl4/edit?usp=sharing
datasets-victims-criminalization,google sheet,https://docs.google.com/spreadsheets/d/1JeHUrkILK43KNXQgIjJImA2EPzmziX2ylJBJI8nh_M8/edit?usp=sharing
datasets-victims-injuries-dv,google sheet,https://docs.google.com/spreadsheets/d/1LNjJKMVZGJPrmqt2WQuLOzun8TWAW-ea3MwlumDd_Jo/edit?usp=sharing
datasets-punishment-us-dv-ca,google sheet,https://docs.google.com/spreadsheets/d/15c-tRzu8y0vAa1gptd-d-K3GO3fBb24u3MbJkPG_9uc/edit?usp=sharing
datasets-punishment-us-dv-legislation,google sheet,https://docs.google.com/spreadsheets/d/18sjZEXdUKub-mFmLadhcryN2p7NAnR3EeNsy2oytbRY/edit?usp=sharing
datasets-punishment-us-dv-ct,google sheet,https://docs.google.com/spreadsheets/d/1tYBTsF7-px-3lCnBFOolTdj5KbTb9SaJ4_gGf5ADiVA/edit?usp=sharing
datasets-punishment-us-dv-dual-arrests,google sheet,https://docs.google.com/spreadsheets/d/1xVLB1FrIouFSZZVpHI8NFdfksBzaL-tOjXxdJKsKWhM/edit?usp=sharing
datasets-punishment-us-dv-ak,google sheet,https://docs.google.com/spreadsheets/d/1Umg3hWiKCnqTPmNzJg5r0b6TEMaWYpkSw6Yr2uPeC_Y/edit?usp=sharing
datasets-punishment-us,google sheet,https://docs.google.com/spreadsheets/d/1XhnG67jH2UosmcdwpeFcq93DZo4zaTSEz7lsyxesdlE/edit?usp=sharing
datasets-punishment-scotland-long-run,google sheet,https://docs.google.com/spreadsheets/d/1CZVs0UFv8puLZ29e_wAbpxW4pfAqpe8HuX0uBQU1owQ/edit?usp=sharing
datasets-punishment-sex-reform,google sheet,https://docs.google.com/spreadsheets/d/1epxY_e7lAk4K--BiiHNn8UlWuF5t1vT-kF6g85bNUtA/edit?usp=sharing
datasets-punishment-us-dv-basile-study,google sheet,https://docs.google.com/spreadsheets/d/14EK7Z-F_GWcNi3ew5_HA9X2z3ilgied5LVXCBCFyakk/edit?usp=sharing
datasets-punishment-us-dv-arrests,google sheet,https://docs.google.com/spreadsheets/d/1IzmdoysFei4faoYb3irecuDfoQItQothfxxjBfZN5rA/edit?usp=sharing
datasets-prisoners-us-fed-state-1940,google sheet,https://docs.google.com/spreadsheets/d/1sI2EoxhhaHxrxtPKOKXXfyBDXHmmp4wheEbjQMY6Gng/edit?usp=sharing
datasets-prisoners-us-offenses-1970-1997,google sheet,https://docs.google.com/spreadsheets/d/1yhWfjAb-In2Nw_WB6bOUyrZ9G52WZoeeEFeIBU25050/edit?usp=sharing
datasets-prisoners-world-2003-2010,google sheet,https://docs.google.com/spreadsheets/d/14dsNnZEr1trsXHxJaLTxJgtL7wEQvgZYP9UuIeRc-Uw/edit?usp=sharing
datasets-prisoners-us-judges-2010,google sheet,https://docs.google.com/spreadsheets/d/1Frx_DeUq5wX76XXASardUz8YBia-OvJCwlRCEsE1ZTk/edit?usp=sharing
datasets-prisoners-us-state-sex-panel,google sheet,https://docs.google.com/spreadsheets/d/1V4_0T_lJPVBhKuMirhXncjWMI3C6crHgcD84qv1Y2JY/edit?usp=sharing
datasets-punishment-australia,google sheet,https://docs.google.com/spreadsheets/d/1Tl6OLqy-YhnPf5JvyiaFcBFs97hKkjkZKONrAW06Id0/edit?usp=sharing
datasets-punishment-england-wales-long-run,google sheet,https://docs.google.com/spreadsheets/d/1ijx9x2_mTW6-GC1RMbvttJV7eg4BA0coDCRgclQu4Os/edit?usp=sharing
datasets-punishment-england-wales-old-bailey,google sheet,https://docs.google.com/spreadsheets/d/1kMHe4qLFh25eknjWutFImSewWPywvxXlTGEFRtQTO-w/edit?usp=sharing
datasets-punishment-executions-statements-meals,google sheet,https://docs.google.com/spreadsheets/d/1RF-0BkAVaWwWTlQdkswsfQFmq1x1N4xWL6cHAytuydE/edit?usp=sharing
datasets-prisoners-us-media-use,google sheet,https://docs.google.com/spreadsheets/d/1Eqox3W3Yg8cvUhQoNf22nMaQzscNHdPFRfw-b4t-3Lw/edit?usp=sharing
datasets-victims-injuries-causes,google sheet,https://docs.google.com/spreadsheets/d/16oWDrrlVVlKYw0t9ybdTMXWBjIfhrkZ9ZhMJh6MojiU/edit?usp=sharing
datasets-victims-dv-ncvs,google sheet,https://docs.google.com/spreadsheets/d/1fOR9LNmLJE_lL8_J7Z0F05c3NPCqI2DVD449I-4uZnc/edit?usp=sharing
datasets-victims-dv-homicide-suicide,google sheet,https://docs.google.com/spreadsheets/d/1kRS4Rzdp7CZxx8IJ3jO5iXaCuCbd6ufPe8tn9dxMi2A/edit?usp=sharing
datasets-victims-agencies-dv,google sheet,https://docs.google.com/spreadsheets/d/1Iq5ViA6HNaS0VzKZODFKmXhyubfsy4CpUFDBDzrgFGs/edit?usp=sharing
datasets-transported-uk-australia,google sheet,https://docs.google.com/spreadsheets/d/1fM_wSmCFny9YPbiI6j9v18YHwCCbCDeq7xVJbTs4_NI/edit?usp=sharing
datasets-transported-england-wales-america,google sheet,https://docs.google.com/spreadsheets/d/152rR8MweRsWMN18fFXmfD9wzkJ8kpxIucP7uGmYcJPo/edit?usp=sharing
datasets-state-prisons-cells-prisoners-1868-1873,google sheet,https://docs.google.com/spreadsheets/d/1G36zuN70Is_Arfr-JjLxFl2_DqTCx9iuBDUGBrFQ90Y/edit?usp=sharing
datasets-punishment-us-restraining-inmates,google sheet,https://docs.google.com/spreadsheets/d/1EiIkVsieUfmdsu6g7ft-c6kY7AnDuBd8IQ1de4U9iZc/edit?usp=sharing
datasets-punishment-us-dv-tn,google sheet,https://docs.google.com/spreadsheets/d/1THLZ_BFChSyhtf_7hHcuFnV6rJ9Z00iyNnjEvryEYbk/edit?usp=sharing
datasets-punishment-us-dv-synth,google sheet,https://docs.google.com/spreadsheets/d/19mjVBERri24sKPVqhRA_BAOq400CZd-njh3KVverE48/edit?usp=sharing
